"","Pollinator species","Frequency","Plants species","Frequency"
"1","Apis mellifera","7","Papaver rhoeas","16"
"2","Osmia aurulenta","7","Eryngium campestre","14"
"3","Halictus quadricinctus","5","Marrubium vulgare","9"
"4","Hoplitis adunca","5","Taraxacum officinale","8"
"5","Anthophora plumipes","4","Anagallis arvensis","7"
"6","Bombus terrestris","4","Centaurea sp","7"
"7","Lasioglossum malachurum","4","Medicago sp","7"
"8","Lestica clypeata","4","Echium vulgare","6"
"9","Rhodanthdium sticticum","4","Vicia sp","6"
"10","Eucera elongatula","3","Galium aparine","5"
"11","Halictus fulvipes","3","Malva neglecta","5"
"12","Lasioglossum xanthopum","3","Diplotaxis erucoides","4"
"13","Osmia tricornis","3","Lactuca serriola","4"
"14","Psilothrix viridicoerulea","3","Helianthemum sp","3"
"15","Tropinota squalida","3","Leontodon sp","3"
"16","Andrena agilissima","2","Medicago sativa","3"
"17","Anthophora atroalba","2","Ranunculus arvensis","3"
"18","Bombus humilis","2","Rosa canina","3"
"19","Bombus sylvarum","2","Thlaspi arvense","3"
"20","Enicopus sp","2","Convolvulus arvensis","2"
"21","Eucera nigrilabris","2","Genista scorpios","2"
"22","Halictus scabiosae","2","Geranium molle","2"
"23","Lasioglossum algericolellum","2","Ranunculus sp","2"
"24","Lasioglossum bimaculatum","2","Artemisa herba-alba","1"
"25","Lasioglossum pauperatum","2","Erodium sp","1"
"26","Lasioglossum subhirtum","2","Fumaria officinalis","1"
"27","Sphaerophoria scripta","2","Galium sp","1"
"28","Trichodes apiarius","2","Lamium sp","1"
"29","Trichodes octopunctatus","2","Senecio vulgaris","1"
"30","Amblyteles armatorius","1"," "," "
"31","Amegilla quadrifasciata","1"," "," "
"32","Ammophila sabilosa","1"," "," "
"33","Andrena (Chlorandrena) sp","1"," "," "
"34","Andrena flavipes","1"," "," "
"35","Andrena lagopus","1"," "," "
"36","Anthidiellum strigatum","1"," "," "
"37","Anthophora dispar","1"," "," "
"38","Bombus bohemicus","1"," "," "
"39","Bombus lapidarius decipiens","1"," "," "
"40","Bombus lucorum magnus x lucorum","1"," "," "
"41","Ceratina chalcites","1"," "," "
"42","Ceratina nigrolabiata","1"," "," "
"43","Cerceris sp","1"," "," "
"44","Dioxys cincta","1"," "," "
"45","Dolichovespula sylvestris","1"," "," "
"46","Eucera codinai","1"," "," "
"47","Eucera notata","1"," "," "
"48","Eumenes sp","1"," "," "
"49","Fabriciana adippe","1"," "," "
"50","Family Ichneumonidae","1"," "," "
"51","Halictus sexcinctus","1"," "," "
"52","Halictus sexnotatum","1"," "," "
"53","Hamearis lucina","1"," "," "
"54","Hemipenthes morio","1"," "," "
"55","Hylaeus clypearis","1"," "," "
"56","Hylaeus variegatus","1"," "," "
"57","Lasioglossum laevigatum","1"," "," "
"58","Lasioglossum pauxillum","1"," "," "
"59","Macroglossum stellatarum","1"," "," "
"60","Megachile leachella","1"," "," "
"61","Megachile pilidens","1"," "," "
"62","Melecta luctuosa","1"," "," "
"63","Mylabris variabilis","1"," "," "
"64","Podalonia hirsuta","1"," "," "
"65","Polistes gallicus","1"," "," "
"66","Polistes semenowi","1"," "," "
"67","Rhagonycha fulva","1"," "," "
"68","Syrphus ribesii","1"," "," "
"69","Zygaena sarpedon","1"," "," "
